Year,Auth. Dist. Ct. Judgeships
1789,13
1790,15
1791,16
1792,16
1793,16
1794,16
1795,16
1796,16
1797,17
1798,17
1799,17
1800,17
1801,17
1802,17
1803,18
1804,18
1805,18
1806,18
1807,18
1808,18
1809,18
1810,18
1811,18
1812,20
1813,20
1814,20
1815,21
1816,21
1817,22
1818,23
,
,
,District
Calendar,Courts
Year,(Art. III)
1819,25
1820,26
1821,26
1822,27
1823,27
1824,27
1825,27
1826,27
1827,27
1828,27
1829,27
1830,27
1831,27
1832,27
1833,27
1834,27
1835,27
1836,29
1837,29
1838,29
1839,29
1840,29
1841,29
1842,29
1843,29
1844,29
1845,32
1846,32
1847,33
1848,34
,
,
,District
Calendar,Courts
Year,(Art. III)
1849,35
1850,37
1851,37
1852,37
1853,37
1854,37
1855,39
1856,39
1857,41
1858,42
1859,43
1860,43
1861,44
1862,44
1863,45
1864,46
1865,48
1866,46(3)
1867,47
1868,47
1869,47
1870,48
1871,49
1872,50
1873,50
1874,50
1875,50
1876,51
1877,51
1878,52
,
,
,District
Calendar,Courts
Year,(Art. III)
1879,53
1880,53
1881,54
1882,56
1883,56
1884,56
1885,56
1886,58
1887,58
1888,58
1889,59
1890,64
1891,64
1892,64
1893,64
1894,65
1895,65
1896,65
1897,65
1898,"65, 1T"
1899,65
1900,67
1901,70
1902,71
1903,73
1904,74
1905,78
1906,81
1907,85
1908,85
,
,
,District
Calendar,Courts
Year,(Art. III)
1909,89
1910,"91, 1T"
1911,91
1912,91
1913,92
1914,"93, 1T"
1915,"94, 1T"
1916,95
1917,96
1918,96
1919,97
1920,97
1921,"97, 1T"
1922,"118, 1T"
1923,118
1924,118
1925,"120, 1T"
1926,121
1927,128
1928,"128, 1T"
1929,"136, 1T"
1930,139
1931,143
1932,143
1933,143
1934,143
1935,147
1936,163(6)
1937,164
1938,179
,
,
,District
Calendar,Courts
Year,(Art. III)
1939,179
1940,"186, 2T"
1941,187
1942,189
1943,189
1944,189
1945,189
1946,"191, 1T"
1947,191
1948,191
1949,210
1950,212
1951,212
1952,212
1953,212
1954,"238, 2T"
1955,238
1956,238
1957,238
1958,239
1959,241(6)
1960,241
1961,"301, 2T"
1962,301
1963,301
1964,301
1965,301
1966,"337, 3T(6)"
1967,337
1968,337
,
,
,District
Calendar,Courts
Year,(Art. III)
1969,337
1970,"394, 1T"
1971,394
1972,394
1973,394
1974,394
1975,394
1976,394
1977,394
1978,"510, 1T"
1979,510
1980,510
1981,510
1982,510
1983,510
1984,"563, 8T"
1985,"563, 8T"
1986,"563, 8T"
1987,"563, 8T"
1988,"563, 8T"
1989,"563, 8T"
1990,"632, 13T"
1991,"632, 13T"
1992,"632, 13T"
1993,"632, 13T"
1994,"632, 13T"
1995,"632, 13T"
1996,"632, 11T"
1997,"632, 10T"
1998,"632, 10T"
,
,
,District
Calendar,Courts
Year,(Art. III)
1999,"641, 10T"
2000,"651, 10T"
2001,"651, 10T"
2002,"651, 10T"
2003,"663, 13T"
2004,"663, 11T"
2005,"663, 11T"
2006,"663, 11T"
2007,"663, 11T"
2008,"663, 11T"
2009,"663, 11T"
2010,"663, 10T"
2011,"663, 10T"
2012,"663, 10T"
2013,"663, 10T"
2014,"663, 10T"
2015,"663, 10T"
2016,"663, 10T"
2017,"663, 10T"
2018,"663, 10T"
2019,"663, 10T"
2020,"663, 10T"
